Customer-wise Revenue:
Customer 92: 333732.96
Customer 93: 874639.36
Customer 94: 129226.5
Customer 95: 146777.6
Customer 96: 1.04635674e+06
Customer 97: 592658
Customer 98: 1.3216536e+06
Customer 99: 1.7748e+06
Customer 100: 5.77293353e+06
Customer 101: 4227.66
Customer 102: 1.5746453800000001e+06
Customer 103: 1.8600539400000002e+06
Customer 104: 2.96436672e+06
Customer 105: 2.0059e+06
Customer 106: 3.26026588e+06
Customer 107: 536354
Customer 108: 100148
Customer 109: 63694.72
Customer 110: 428480.91000000003
Customer 111: 1.53259764e+06
Customer 112: 2.17764612e+06
Customer 113: 142089.38999999998
Customer 114: 6.42567168e+06
Customer 115: 44892.82
Customer 116: 850862.24
Customer 117: 4.633344e+06
Customer 118: 506707.93999999994
Customer 119: 66396.95000000001
Customer 120: 5.17349376e+06
Customer 121: 249811.59999999998
Customer 122: 963617.34
Customer 123: 12453.84
Customer 124: 846464
Customer 125: 83159
Customer 126: 585936.27
Customer 127: 1.76393992e+06
Customer 128: 2.89553446e+06
Customer 129: 1.5511076099999999e+06
Customer 130: 1.81824993e+06
Customer 131: 188611.2
Customer 132: 558850.55
Customer 133: 2.73851776e+06
Customer 134: 3.95010048e+06
Customer 135: 411.07
Customer 136: 244940.8
Customer 137: 1.54901175e+06
Customer 138: 3.41419873e+06
Customer 139: 1.45402192e+06
Customer 140: 393661.4
Customer 141: 1.652376e+06
Customer 142: 3.0338e+06
Customer 143: 185036.8
Customer 144: 2.56122e+06
Customer 145: 165005.28
Customer 146: 118840.68
Customer 147: 521761.68
Customer 148: 817014.56
Customer 149: 260394.66999999998
Customer 150: 86996.07
Customer 151: 28459.2
Customer 152: 2.5362432e+06
Customer 153: 22686.72
Customer 154: 38901.76
Customer 155: 3.08377875e+06
Customer 156: 4.7642902e+06
Customer 157: 6.12461637e+06
Customer 158: 3.79095066e+06
Customer 159: 3.32843375e+06
Customer 160: 178913.28
Customer 161: 560032.36
Customer 162: 596816
Customer 163: 5.369069890000001e+06
Customer 164: 7.84844478e+06
Customer 165: 91451.25
Customer 166: 665880.96
Customer 167: 2.78316129e+06
Customer 168: 143210.25
Customer 169: 2.860224e+06
Customer 170: 1.4690895e+06
Customer 171: 743402.52
Customer 172: 1.7589312e+06
Customer 173: 261368.64
Customer 174: 3.267904e+06
Customer 175: 891872.16
Customer 176: 786490.5
Customer 177: 1.31333168e+06
Customer 178: 2.2083987199999997e+06
Customer 179: 2.94944328e+06
Customer 180: 48520.78
Customer 181: 702082.8899999999
Customer 182: 94741
Customer 183: 2.7362927899999996e+06
Customer 184: 72104.48
Customer 185: 307557.56
Customer 186: 241368
Customer 187: 2.30999688e+06
Customer 188: 1.1162914e+06
Customer 189: 322756.19999999995
Customer 190: 14294.16
Customer 191: 4.854822e+06
Customer 192: 5.919513600000001e+06
Customer 193: 2.45793408e+06
Customer 194: 9763.56
Customer 195: 314046.19999999995
Customer 196: 1.0303220199999999e+06
Customer 197: 589135.46
Customer 198: 2.5237654400000004e+06
Customer 199: 62084.15
Customer 200: 901201.95
Customer 201: 2.80560672e+06
Customer 202: 2.22383685e+06
Customer 203: 4.32206528e+06
Customer 204: 1.8073727999999998e+06
Customer 205: 3547.71
Customer 206: 8269.92
Customer 207: 1.14402456e+06
Customer 208: 1.25295417e+06
Customer 209: 3.6733664000000004e+06
Customer 210: 889592.85
Customer 211: 117090.34999999999
Customer 212: 1.594509e+06
Customer 213: 3.5018591999999997e+06
Customer 214: 666919.52
Customer 215: 117818.88
Customer 216: 73017.87
Customer 217: 951279.7899999999
Customer 218: 1.63103724e+06
Customer 219: 2241.44
Customer 220: 1.12090982e+06
Customer 221: 1.9807289600000002e+06
Customer 222: 1.475136e+06
Customer 223: 48899.2
Customer 224: 388747.39999999997
Customer 225: 2.698164e+06
Customer 226: 513945
Customer 227: 1.50349824e+06
Customer 228: 2973.44
Customer 229: 7063.349999999999
Customer 230: 7.452044159999999e+06
Customer 231: 49383.36
Customer 232: 3.5017302399999998e+06
Customer 233: 357090.24
Customer 234: 545940
Customer 235: 581852.5599999999
Customer 236: 1.0013999099999999e+06
Customer 237: 739892.16
Customer 238: 216170.56
Customer 239: 2.41453548e+06
Customer 240: 324936
Customer 241: 429625.04000000004
Customer 242: 1.32506879e+06
Customer 243: 364354.2
Customer 244: 3.2984378400000003e+06
Customer 245: 1.4638488e+06
Customer 246: 371627.79
Customer 247: 560207.34
Customer 248: 1.809702e+06
Customer 249: 1844.12
Customer 250: 1.64905712e+06
Customer 251: 68997.12
Customer 252: 371100
Customer 253: 442455.60000000003
Customer 254: 54769.92
Customer 255: 5.78322432e+06
Customer 256: 2.07847019e+06
Customer 257: 4.047813e+06
Customer 258: 739491.3
Customer 259: 24063.91
Customer 260: 2.1889917e+06
Customer 261: 8.80259992e+06
Customer 262: 1.2564244000000001e+06
Customer 263: 1.83490692e+06
Customer 264: 3.1249541599999997e+06
Customer 265: 59474.24
Customer 266: 7.17753132e+06
Customer 267: 1.38728984e+06
Customer 268: 715235.36
Customer 269: 102.48
Customer 270: 1.98963248e+06
Customer 271: 1.2091313399999999e+06
Customer 272: 992826.24
Customer 273: 95485.44
Customer 274: 46517.240000000005
Customer 275: 275318.75
Customer 276: 3.24670576e+06
Customer 277: 2.03585858e+06
Customer 278: 3.98489668e+06
Customer 279: 3.66655289e+06
Customer 280: 938411.3700000001
Customer 281: 93016.33
Customer 282: 16980.48
Customer 283: 843394.5
Customer 284: 888566.9600000001
Customer 285: 8.3999088e+06
Customer 286: 116704.64000000001
Customer 287: 2.29098492e+06
Customer 288: 310469.76
Customer 289: 3.1890659200000004e+06
Customer 290: 2.9638509e+06
Customer 291: 2.71508192e+06
Customer 292: 1.03847133e+06
Customer 293: 328743.75
Customer 294: 126577.58
Customer 295: 1690.47
Customer 296: 5.15152531e+06
Customer 297: 11974.16
Customer 298: 15300.16
Customer 299: 1.8365729200000002e+06
Customer 300: 478491.50999999995
Customer 301: 289154.88
Customer 302: 7.0390656e+06
Customer 303: 6.5775875200000005e+06
Customer 304: 3.0114e+06
Customer 305: 924672.84
Customer 306: 49282.09
Customer 307: 5.7359808e+06
Customer 308: 2.40142976e+06
Customer 309: 21948.57
Customer 310: 768075.2999999999
Customer 311: 2.32889436e+06
Customer 312: 946974.6000000001
Customer 313: 3.3934208e+06
Customer 314: 333792
Customer 315: 3.095575e+06
Customer 316: 26509
Customer 317: 3.5717481799999997e+06
Customer 318: 1.10672698e+06
Customer 319: 1.7874662399999998e+06
Customer 320: 847462.4
Customer 321: 4.04052608e+06
Customer 322: 7429.4
Customer 323: 5.480018e+06
Customer 324: 1.7584927500000002e+06
Customer 325: 590548.32
Customer 326: 748340.3099999999
Customer 327: 18017.789999999997
Customer 328: 5.733471000000001e+06
Customer 329: 1.81449869e+06
Customer 330: 1.25327358e+06
Customer 331: 913355.73
Customer 332: 3.4663815999999996e+06
Customer 333: 17707.41
Customer 334: 6.01471701e+06
Customer 335: 2281.52
Customer 336: 7.055140590000001e+06
Customer 337: 1.04101382e+06
Customer 338: 3.04945213e+06
Customer 339: 21946.12
Customer 340: 1.208548e+06
Customer 341: 56493.079999999994
Customer 342: 2.62490608e+06
Customer 343: 27802.08
Customer 344: 17639.51
Customer 345: 1.58270296e+06
Customer 346: 501333.25
Customer 347: 214848.61000000002
Customer 348: 272.44
Customer 349: 159838
Customer 350: 5.48596944e+06
Customer 351: 127594.8
Customer 352: 436824.09
Customer 353: 993466.3999999999
Customer 354: 1.3955656e+06
Customer 355: 7.161990919999999e+06
Customer 356: 322331.31
Customer 357: 759977.2000000001
Customer 358: 601415.68
Customer 359: 95825
Customer 360: 2.44772864e+06
Customer 361: 9.2019e+06
Customer 362: 431229.52999999997
Customer 363: 4.20862464e+06
Customer 364: 1.1031134e+06
Customer 365: 2.28035468e+06
Customer 366: 3951.63
Customer 367: 932106.24
Customer 368: 6.15147768e+06
Customer 369: 270172
Customer 370: 1.2618216e+06
Customer 371: 2.8818974299999997e+06
Customer 372: 2.26079556e+06
Customer 373: 135971.81
Customer 374: 1.27352385e+06
Customer 375: 219516
Customer 376: 70230.23999999999
Customer 377: 2.26580736e+06
Customer 378: 982428.75
Customer 379: 1.0897966700000002e+06
Customer 380: 93586.87
Customer 381: 130111.41
Customer 382: 1.9645078800000001e+06
Customer 383: 3.2578769899999998e+06
Customer 384: 1.181553e+06
Customer 385: 321126.12
Customer 386: 4957.2
Customer 387: 974418.27
Customer 388: 396.99
Customer 389: 1.1178643299999998e+06
Customer 390: 8680
Customer 391: 3.6422636399999997e+06
Customer 392: 33193
Customer 393: 332437.68
Customer 394: 86447.24
Customer 395: 159984.99
Customer 396: 857438.75
Customer 397: 1.90694868e+06
Customer 398: 11129.97
Customer 399: 28366.2
Customer 400: 987611.68
Customer 401: 2.09062656e+06
Customer 402: 5209.5599999999995
Customer 403: 1.39475024e+06
Customer 404: 3.22185433e+06
Customer 405: 2.3912e+06
Customer 406: 25391.25
Customer 407: 1.05912e+06
Customer 408: 2.7410227199999997e+06
Customer 409: 617118.25
Customer 410: 1.94240724e+06
Customer 411: 326280.96
Customer 412: 2.75359312e+06
Customer 413: 839.28
Customer 414: 4.98705408e+06
Customer 415: 2.4732128e+06
Customer 416: 22839.12
Customer 417: 2.5710594e+06
Customer 418: 373861.80000000005
Customer 419: 572064.03
Customer 420: 6.115930359999999e+06
Customer 421: 2.941344e+06
Customer 422: 582243.75
Customer 423: 4.164075e+06
Customer 424: 1.992585e+06
Customer 425: 2558.81
Customer 426: 4.74236996e+06
Customer 427: 2.42759916e+06
Customer 428: 5.50460218e+06
Customer 429: 297344
Customer 430: 3.2905314000000004e+06
Customer 431: 286639.56
Customer 432: 3.87718848e+06
Customer 433: 7.8742425600000005e+06
Customer 434: 460636.13
Customer 435: 438260.22000000003
Customer 436: 14528.5
Customer 437: 4.23076743e+06
Customer 438: 7.4176e+06
Customer 439: 2.22019392e+06
Customer 440: 975609.5999999999
Customer 441: 904680.4400000001
Customer 442: 103256.56
Customer 443: 1.16370516e+06
Customer 444: 1.204763e+06
Customer 445: 695.76
Customer 446: 1.5827273499999999e+06
Customer 447: 5.65005856e+06
Customer 448: 6.53614104e+06
Customer 449: 609221.25
Customer 450: 8910.72
Customer 451: 3.76052346e+06
Customer 452: 266456.52
Customer 453: 6.730128e+06
Customer 454: 1.296912e+06
Customer 455: 44469.81
Customer 456: 1.149488e+06
Customer 457: 19031.04
Customer 458: 2.27425852e+06
Customer 459: 865.95
Customer 460: 1.6731785899999999e+06
Customer 461: 15322.88
Customer 462: 3569.5000000000005
Customer 463: 2802.36
Customer 464: 2.61656096e+06
Customer 465: 3.59200755e+06
Customer 466: 43530
Customer 467: 109771.2
Customer 468: 237737.44
Customer 469: 225306.9
Customer 470: 8429.76
Customer 471: 360578.39999999997
Customer 472: 1.36414432e+06
Customer 473: 782835.84
Customer 474: 6.37299897e+06
Customer 475: 864.95
Customer 476: 39256.85
Customer 477: 227785.32
Customer 478: 5.52854898e+06
Customer 479: 5.017545e+06
Customer 480: 2.4949105999999996e+06
Customer 481: 913831.27
Customer 482: 50491.56
Customer 483: 735078.4
Customer 484: 1.89158536e+06
Customer 485: 109376
Customer 486: 70471.62
Customer 487: 1.1258104000000001e+06
Customer 488: 295956.48
Customer 489: 2.60664624e+06
Customer 490: 3.43282779e+06
Customer 491: 5.81367605e+06
Customer 492: 100945.44
Customer 493: 1.25904618e+06
Customer 494: 711334.62
Customer 495: 196109.63999999998
Customer 496: 1.15281796e+06
Customer 497: 3.71820925e+06
Customer 498: 4.85006833e+06
Customer 499: 2.50408261e+06
Customer 500: 886921.56
Customer 501: 4.99792096e+06
Customer 502: 4.69891656e+06
Customer 503: 2.00154753e+06
Customer 504: 2.17182576e+06
Customer 505: 2.71997552e+06
Customer 506: 1.88441872e+06
Customer 507: 402479.88
Customer 508: 2.39180625e+06
Customer 509: 3.0011928499999996e+06
Customer 510: 2.22323923e+06
Customer 511: 439409.2
Customer 512: 6.720165e+06
Customer 513: 5.42257925e+06
Customer 514: 683528.01
Customer 515: 1.0660733900000001e+06
Customer 516: 406847
Customer 517: 3.9661514e+06
Customer 518: 155396.06
Customer 519: 1.34276006e+06
Customer 520: 8735.039999999999
Customer 521: 4.20070612e+06
Customer 522: 21383.600000000002
Customer 523: 910864.63
Customer 524: 1.79161152e+06
Customer 525: 113212.43999999999
Customer 526: 69155
Customer 527: 335658.83999999997
Customer 528: 1.2023193599999999e+06
Customer 529: 363116.16
Customer 530: 3.4661764800000004e+06
Customer 531: 231147.52
Customer 532: 184459.5
Customer 533: 2.1337234e+06
Customer 534: 67676.16
Customer 535: 5.27431982e+06
Customer 536: 724543.56
Customer 537: 64604.56
Customer 538: 546011.96
Customer 539: 437387.65
Customer 540: 334216.91
Customer 541: 481366.07999999996
Customer 542: 1.963404e+06
Customer 543: 1.7608071600000001e+06
Customer 544: 1.19888424e+06
Customer 545: 405900
Customer 546: 2851.12
Customer 547: 4.87553528e+06
Customer 548: 2.977155e+06
Customer 549: 2.42106696e+06
Customer 550: 1.43802208e+06
Customer 551: 1.20074108e+06
Customer 552: 874255.25
Customer 553: 8.1261453e+06
Customer 554: 663595.37
Customer 555: 7.24478423e+06
Customer 556: 25599.96
Customer 557: 38292.02
Customer 558: 359930.97
Customer 559: 275192.82
Customer 560: 175337.05000000002
Customer 561: 2.06593408e+06
Customer 562: 7.8535413e+06
Customer 563: 46302.06
Customer 564: 503786.88
Customer 565: 1.26207405e+06
Customer 566: 1.228048e+06
Customer 567: 432132.87
Customer 568: 2.099556e+06
Customer 569: 1.4787381700000002e+06
Customer 570: 5.661076499999999e+06
Customer 571: 37068.75
Customer 572: 5.39135828e+06
Customer 573: 3488
Customer 574: 2.5190715700000003e+06
Customer 575: 1.27243544e+06
Customer 576: 52863.840000000004
Customer 577: 5047
Customer 578: 1.44544496e+06
Customer 579: 2.58019344e+06
Customer 580: 548373.21
Customer 581: 640875.04
Customer 582: 444100.25
Customer 583: 1.480128e+06
Customer 584: 1.1295058800000001e+06
Customer 585: 1.4483954100000001e+06
Customer 586: 84567
Customer 587: 1.46620152e+06
Customer 588: 4.81120871e+06
Customer 589: 2.4656e+06
Customer 590: 80496
Customer 591: 76762.08
Customer 592: 451319.04
Customer 593: 4.70604375e+06
Customer 594: 649633.67
Customer 595: 53632.62
Customer 596: 2.63826432e+06
Customer 597: 97098.40000000001
Customer 598: 5.41419825e+06
Customer 599: 12089.25
Customer 600: 529263.36
Customer 601: 223063.5
Customer 602: 4.81608375e+06
Customer 603: 5.96874096e+06
Customer 604: 1.16248576e+06
Customer 605: 1.77471488e+06
Customer 606: 36914.13
Customer 607: 1.28593552e+06
Customer 608: 5258.88
Customer 609: 2.18721614e+06
Customer 610: 3.2914123200000003e+06
Customer 611: 435533.27999999997
Customer 612: 952700.76
Customer 613: 5.08092545e+06
Customer 614: 98836.48
Customer 615: 95575
Customer 616: 95804
Customer 617: 110280.63
Customer 618: 79572.18
Customer 619: 1.839264e+06
Customer 620: 2.6353195300000003e+06
Customer 621: 1.4454e+06
Customer 622: 4.0059836e+06
Customer 623: 272904.03
Customer 624: 88257.4
Customer 625: 103472.32
Customer 626: 3164.56
Customer 627: 172968.12
Customer 628: 13367.199999999999
Customer 629: 3.267378e+06
Customer 630: 283141.96
Customer 631: 760180.5900000001
Customer 632: 3.44387102e+06
Customer 633: 1.464463e+06
Customer 634: 200010.9
Customer 635: 744471
Customer 636: 419016.63999999996
Customer 637: 975447.72
Customer 638: 27888.84
Customer 639: 277176
Customer 640: 1.78201152e+06
Customer 641: 615144.78
Customer 642: 1.18370441e+06
Customer 643: 1.01761968e+06
Customer 644: 46599.75
Customer 645: 3.764925e+06
Customer 646: 649487.48
Customer 647: 1.99736754e+06
Customer 648: 442563.68
Customer 649: 192375
Customer 650: 115608.3
Customer 651: 792.36
Customer 652: 184300.58000000002
Customer 653: 12350
Customer 654: 39608.92
Customer 655: 13986.56
Customer 656: 1.532025e+06
Customer 657: 609762.5599999999
Customer 658: 232917.12
Customer 659: 3.30950851e+06
Customer 660: 581754.6900000001
Customer 661: 22660.38
Customer 662: 3.57703392e+06
Customer 663: 2.51342124e+06
Customer 664: 2.4967125e+06
Customer 665: 2618.37
Customer 666: 1.19285077e+06
Customer 667: 745725.61
Customer 668: 1.10665073e+06
Customer 669: 2.71447768e+06
Customer 670: 311358.89
Customer 671: 3.31929392e+06
Customer 672: 747090.6799999999
Customer 673: 12621.51
Customer 674: 2.53506176e+06
Customer 675: 872850
Customer 676: 1.04949198e+06
Customer 677: 4.0849317199999997e+06
Customer 678: 7.07754764e+06
Customer 679: 1.35378464e+06
Customer 680: 3.2165068200000003e+06
Customer 681: 781704
Customer 682: 3.2547001900000004e+06
Customer 683: 504.73
Customer 684: 3.762078e+06
Customer 685: 102068.63999999998
Customer 686: 2.9051504000000004e+06
Customer 687: 1.38829824e+06
Customer 688: 7.263981399999999e+06
Customer 689: 77774.76
Customer 690: 58625.28
Customer 691: 5.6899584e+06
Customer 692: 179153.99
Customer 693: 162446.18
Customer 694: 1.16177272e+06
Customer 695: 995945.36
Customer 696: 2.0110291199999999e+06
Customer 697: 308777.95
Customer 698: 1.61538048e+06
Customer 699: 4.6749954799999995e+06
Customer 700: 1.307243e+06
Customer 701: 1.1643639000000001e+06
Customer 702: 587051.36
Customer 703: 1.8936687000000002e+06
Customer 704: 559222.6
Customer 705: 256018.88999999998
Customer 706: 31839
Customer 707: 863171.75
Customer 708: 102571.17
Customer 709: 1.69693575e+06
Customer 710: 1.24120464e+06
Customer 711: 78339.96
Customer 712: 5.57414332e+06
Customer 713: 246489.61
Customer 714: 195305.43
Customer 715: 875771.5199999999
Customer 716: 2.76116164e+06
Customer 717: 585973.76
Customer 718: 2.27049093e+06
Customer 719: 1.01581544e+06
Customer 720: 1.30087584e+06
Customer 721: 3.5911608e+06
Customer 722: 879979.51
Customer 723: 2.13347403e+06
Customer 724: 1.32439824e+06
Customer 725: 750288.33
Customer 726: 1.5971032000000002e+06
Customer 727: 261462.74000000002
Customer 728: 6.78820324e+06
Customer 729: 834211.8400000001
Customer 730: 1.4544721099999999e+06
Customer 731: 13937.56
Customer 732: 2.8891968000000003e+06
Customer 733: 43588.33
Customer 734: 1.2996838399999999e+06
Customer 735: 1.5413739300000002e+06
Customer 736: 391625
Customer 737: 2.7295670900000003e+06
Customer 738: 2.04467004e+06
Customer 739: 4.00799916e+06
Customer 740: 541864.62
Customer 741: 3.807936e+06
Customer 742: 599114.91
Customer 743: 475272.16000000003
Customer 744: 2.05367232e+06
Customer 745: 2.02571028e+06
Customer 746: 2.73360204e+06
Customer 747: 6.505317749999999e+06
Customer 748: 5.2585065e+06
Customer 749: 5.12644471e+06
Customer 750: 702342.72
Customer 751: 2.27359363e+06
Customer 752: 2.2062515e+06
Customer 753: 4.47057792e+06
Customer 754: 5.81317632e+06
Customer 755: 5.29559856e+06
Customer 756: 620699.75
Customer 757: 54698.659999999996
Customer 758: 5.47429315e+06
Customer 759: 75932
Customer 760: 121179.24
Customer 761: 3.6180172800000003e+06
Customer 762: 601.04
Customer 763: 35931.25
Customer 764: 715500
Customer 765: 15742.720000000001
Customer 766: 109594.08
Customer 767: 1.76228352e+06
Customer 768: 2.0875915000000002e+06
Customer 769: 1.5085615999999999e+06
Customer 770: 4.72208688e+06
Customer 771: 268016.85
Customer 772: 6.907808960000001e+06
Customer 773: 653841.76
Customer 774: 1.80425e+06
Customer 775: 3.59768875e+06
Customer 776: 173586.06
Customer 777: 391475.7
Customer 778: 1.16695425e+06
Customer 779: 320304.21
Customer 780: 180646.19999999998
Customer 781: 379337.5
Customer 782: 729765
Customer 783: 2.7394055e+06
Customer 784: 3.77870311e+06
Customer 785: 384.99
Customer 786: 1.7338882799999998e+06
Customer 787: 2.80147192e+06
Customer 788: 788560.4299999999
Customer 789: 2.81406675e+06
Customer 790: 36910.08
Customer 791: 476622.72
Customer 792: 331
Customer 793: 430002
Customer 794: 7.239633279999999e+06
Customer 795: 7936.38
Customer 796: 309926.25
Customer 797: 11052
Customer 798: 3.80954811e+06
Customer 799: 45986.13
Customer 800: 24442.88
Customer 801: 705654
Customer 802: 8.51135292e+06
Customer 803: 575190.72
Customer 804: 1.135872e+06
Customer 805: 415180.92
Customer 806: 4.08514068e+06
Customer 807: 2.98732616e+06
Customer 808: 1.40172208e+06
Customer 809: 3.25419039e+06
Customer 810: 184468.48
Customer 811: 898941.4199999999
Customer 812: 40593.799999999996
Customer 813: 3.34654056e+06
Customer 814: 913824
Customer 815: 592950.9600000001
Customer 816: 195929.27999999997
Customer 817: 73940.72
Customer 818: 3.4560648000000003e+06
Customer 819: 7.60384316e+06
Customer 820: 116282.88
Customer 821: 1.08199029e+06
Customer 822: 547861.0399999999
Customer 823: 1.91302076e+06
Customer 824: 6.375091640000001e+06
Customer 825: 332602.79000000004
Customer 826: 5.26739829e+06
Customer 827: 52354.35
Customer 828: 704645.12
Customer 829: 326609.01
Customer 830: 4.75552268e+06
Customer 831: 3.35297074e+06
Customer 832: 5.021280319999999e+06
Customer 833: 4.295992350000001e+06
Customer 834: 23064
Customer 835: 208401.69
Customer 836: 1.44709381e+06
Customer 837: 1.8855892799999998e+06
Customer 838: 3.76441875e+06
Customer 839: 1.43032176e+06
Customer 840: 7.3627145200000005e+06
Customer 841: 2.32422729e+06
Customer 842: 682424.37
Customer 843: 37222.36
Customer 844: 414334.7
Customer 845: 314459.43
Customer 846: 163463.04
Customer 847: 76957.44
Customer 848: 89588
Customer 849: 394025
Customer 850: 3.50124042e+06
Customer 851: 320557.5
Customer 852: 3.34161948e+06
Customer 853: 21.8
Customer 854: 953760.5
Customer 855: 2.1119923200000003e+06
Customer 856: 306016
Customer 857: 1.3290155999999999e+06
Customer 858: 4.02459552e+06
Customer 859: 41864.619999999995
Customer 860: 3.7324531199999996e+06
Customer 861: 1.0111667499999999e+06
Customer 862: 3.6064696999999997e+06
Customer 863: 1.52157396e+06
Customer 864: 3422.72
Customer 865: 171242.75
Customer 866: 472190.39999999997
Customer 867: 865403.64
Customer 868: 107916
Customer 869: 41231.25
Customer 870: 1.38192e+06
Customer 871: 1.90273536e+06
Customer 872: 214129.17
Customer 873: 1.64606886e+06
Customer 874: 250040
Customer 875: 2.9858e+06
Customer 876: 1.54626948e+06
Customer 877: 13448.96
Customer 878: 3.25196627e+06
Customer 879: 274903.04
Customer 880: 81538.56
Customer 881: 4.009033e+06
Customer 882: 951.6
Customer 883: 4.72218775e+06
Customer 884: 524467.84
Customer 885: 112049.28
Customer 886: 2.21635e+06
Customer 887: 595032.48
Customer 888: 1.19147711e+06
Customer 889: 1.9173887999999998e+06
Customer 890: 183995
Customer 891: 108403.9
Customer 892: 26511.839999999997
Customer 893: 4.0059054e+06
Customer 894: 8346.32
Customer 895: 318516.48
Customer 896: 1.15587408e+06
Customer 897: 1.46283975e+06
Customer 898: 191083.91
Customer 899: 438674.01
Customer 900: 1.024345e+06
Customer 901: 2.87044352e+06
Customer 902: 6.79677608e+06
Customer 903: 45171.630000000005
Customer 904: 5.774284800000001e+06
Customer 905: 6.837870129999999e+06
Customer 906: 7774.339999999999
Customer 907: 121384.76000000001
Customer 908: 15993.78
Customer 909: 311734.08
Customer 910: 480481.75
Customer 911: 968841
Customer 912: 1.846325e+06
Customer 913: 413089.11
Customer 914: 1.85884252e+06
Customer 915: 1.1787264e+06
Customer 916: 4.05433485e+06
Customer 917: 629216
Customer 918: 751411.2
Customer 919: 3.54256875e+06
Customer 920: 279313.92
Customer 921: 4.06020924e+06
Customer 922: 2028.92
Customer 923: 2.73879144e+06
Customer 924: 4.82536359e+06
Customer 925: 7.98230433e+06
Customer 926: 35489.25
Customer 927: 838019.52
Customer 928: 708751.36
Customer 929: 6.59943168e+06
Customer 930: 11852.8
Customer 931: 4.01964087e+06
Customer 932: 300556.64
Customer 933: 766050.08
Customer 934: 195735.04
Customer 935: 75900.92
Customer 936: 3.694302e+06
Customer 937: 983216.96
Customer 938: 1.22610671e+06
Customer 939: 3295.2
Customer 940: 1.448202e+06
Customer 941: 2.39703008e+06
Customer 942: 1.28062357e+06
Customer 943: 4.3339802e+06
Customer 944: 5.05670625e+06
Customer 945: 22008
Customer 946: 85871.13
Customer 947: 3.22564032e+06
Customer 948: 2.62442592e+06
Customer 949: 3.06735e+06
Customer 950: 25283.52
Customer 951: 4970.97
Customer 952: 6.27646239e+06
Customer 953: 529405.2899999999
Customer 954: 554491.9800000001
Customer 955: 110526.75
Customer 956: 1.40620464e+06
Customer 957: 751040
Customer 958: 9.645360120000001e+06
Customer 959: 395970.07999999996
Customer 960: 251869.28
Customer 961: 8769.92
Customer 962: 1.69790625e+06
Customer 963: 5484.16
Customer 964: 2.9479495100000002e+06
Customer 965: 2.4997481100000003e+06
Customer 966: 510420.56000000006
Customer 967: 1.11024404e+06
Customer 968: 34778.51
Customer 969: 1.05165944e+06
Customer 970: 15643.800000000001
Customer 971: 2528.52
Customer 972: 40013
Customer 973: 2.42477064e+06
Customer 974: 820231.36
Customer 975: 26771
Customer 976: 847830.16
Customer 977: 214926.25
Customer 978: 4.93302006e+06
Customer 979: 1.331325e+06
